Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,78.419998,82.699997,78.419998,81.879997,81.879997,37141390
2020-06-02,82.660004,85.000000,81.900002,84.400002,84.400002,39049072
2020-06-03,85.040001,87.599998,84.699997,86.599998,86.599998,37456611
2020-06-04,86.599998,89.000000,85.099998,85.959999,85.959999,33200271
2020-06-05,86.500000,89.879997,85.660004,89.800003,89.800003,35262180
2020-06-08,90.540001,95.699997,90.160004,95.699997,95.699997,74031470
2020-06-09,96.720001,97.739998,91.580002,92.400002,92.400002,60058770
2020-06-10,92.620003,93.980003,87.580002,89.279999,89.279999,58575580
2020-06-11,87.940002,88.839996,85.260002,87.699997,87.699997,35197340
2020-06-15,85.500000,88.239998,83.639999,87.639999,87.639999,29667370
2020-06-16,89.000000,90.860001,88.940002,89.599998,89.599998,26596600
2020-06-17,90.260002,90.339996,84.680000,85.000000,85.000000,30282410
2020-06-18,82.879997,84.139999,80.339996,81.000000,81.000000,64710495
2020-06-19,81.500000,83.199997,81.160004,81.699997,81.699997,29755535
2020-06-22,81.720001,83.980003,80.320000,81.239998,81.239998,17004751
2020-06-23,82.040001,82.360001,80.400002,81.160004,81.160004,15441941
2020-06-25,79.779999,80.680000,78.360001,80.199997,80.199997,20261335
2020-06-26,80.500000,81.440002,78.760002,79.620003,79.620003,13272060
2020-06-29,79.000000,82.500000,77.440002,82.180000,82.180000,33055000
2020-06-30,81.839996,82.199997,81.839996,82.139999,82.139999,22733206
2020-07-02,82.360001,84.220001,81.440002,82.040001,82.040001,17478441
2020-07-03,80.900002,81.379997,79.559998,80.860001,80.860001,19181790
2020-07-06,81.360001,82.639999,80.500000,80.900002,80.900002,17600721
2020-07-07,81.000000,81.419998,80.120003,80.599998,80.599998,8498285
2020-07-08,80.400002,81.379997,80.120003,80.519997,80.519997,7188161
2020-07-09,80.900002,82.000000,80.400002,80.779999,80.779999,12525951
2020-07-10,80.500000,81.500000,80.220001,81.360001,81.360001,7231160
2020-07-13,81.620003,82.680000,80.860001,81.180000,81.180000,8697912
2020-07-14,81.000000,81.680000,79.639999,81.279999,81.279999,12863768
2020-07-15,81.800003,83.120003,81.260002,82.239998,82.239998,14009191
2020-07-16,82.440002,83.320000,82.080002,82.580002,82.580002,7266720
2020-07-17,82.080002,83.339996,82.080002,83.019997,83.019997,7097292
2020-07-20,83.260002,84.959999,82.599998,84.739998,84.739998,12050101
2020-07-21,87.220001,87.559998,87.220001,87.480003,87.480003,24998561
2020-07-22,88.000000,88.779999,85.199997,86.099998,86.099998,18913271
2020-07-23,86.120003,86.919998,85.800003,86.199997,86.199997,7935911
2020-07-24,85.440002,89.400002,84.279999,87.620003,87.620003,31115651
